symbol,margin
AUD/CAD,2.00
AUD/CHF,4.00
AUD/JPY,2.00
AUD/NZD,2.00
AUD/USD,2.00
AUS200,1.40
Bund,5.33
CAD/CHF,4.50
CAD/JPY,2.25
CHF/JPY,6.50
CHN50,33.80
CORNF,3.45
Copper,9.80
EMBasket,450.00
ESP35,2.65
EUR/AUD,3.25
EUR/CAD,3.25
EUR/CHF,6.50
EUR/GBP,3.25
EUR/HUF,52.00
EUR/JPY,3.25
EUR/NOK,65.00
EUR/NZD,3.25
EUR/SEK,65.00
EUR/TRY,156.00
EUR/USD,3.25
EUSTX50,1.30
FRA40,2.17
GBP/AUD,3.75
GBP/CAD,3.75
GBP/CHF,7.50
GBP/JPY,3.75
GBP/NZD,3.75
GBP/USD,3.75
GER30,9.55
HKG33,8.55
INDIA50,18.70
JPN225,0.68
JPYBasket,110.00
NAS100,8.00
NGAS,11.00
NZD/CAD,2.00
NZD/CHF,4.00
NZD/JPY,2.00
NZD/USD,2.00
SOYF,3.88
SPX500,24.30
TRY/JPY,12.00
UK100,2.75
UKOil,14.40
UKOilSpot,14.25
US2000,5.63
US30,18.95
USD/CAD,2.50
USD/CHF,5.00
USD/CNH,50.00
USD/HUF,40.00
USD/ILS,40.00
USD/JPY,2.50
USD/MXN,50.00
USD/NOK,50.00
USD/SEK,50.00
USD/TRY,120.00
USD/ZAR,120.00
USDOLLAR,22.50
USEquities,28.00
USOil,13.95
USOilSpot,13.95
VOLX,7.75
WHEATF,4.45
XAG/USD,13.20
XAU/USD,10.15
ZAR/JPY,12.00
