balance,equity,dayPL,usdMr,usableMargin,date
18647.14,18647.14,0,0,18647.14,2022-02-07 00:06:40.081523+00:00
18647.14,18643.97913,-3.16087,117.25,18526.72913,2022-02-07 00:16:27.861177+00:00
18647.14,18643.75132,-3.38868,117.25,18526.50132,2022-02-07 00:26:27.869254+00:00
18647.14,18649.97575,2.83575,117.25,18532.72575,2022-02-07 00:36:27.905915+00:00
18647.14,18648.47184,1.33184,117.25,18531.22184,2022-02-07 00:46:27.860790+00:00
18647.14,18641.27197,-5.86803,117.25,18524.02197,2022-02-07 01:00:20.545219+00:00
18647.14,18650.98655,3.84655,117.25,18533.73655,2022-02-07 01:10:06.657086+00:00
18647.14,18636.5461,-10.5939,117.25,18519.2961,2022-02-07 01:20:22.174526+00:00
18647.14,18629.92437,-17.21563,117.25,18512.67437,2022-02-07 02:00:14.656212+00:00
18647.14,18646.14181,-0.99819,117.25,18528.89181,2022-02-07 02:40:52.384945+00:00
18647.14,18643.5832,-3.5568,117.25,18526.3332,2022-02-07 02:50:40.330257+00:00
18647.14,18645.73592,-1.40408,117.25,18528.48592,2022-02-07 03:00:21.427546+00:00
18647.14,18656.26574,9.12574,117.25,18539.01574,2022-02-07 03:10:07.185376+00:00
18647.14,18638.19152,-8.94848,117.25,18520.94152,2022-02-07 04:00:13.782731+00:00
18647.14,18623.7038,-23.4362,117.25,18506.4538,2022-02-07 04:10:02.378239+00:00
18647.14,18613.40667,-33.73333,117.25,18496.15667,2022-02-07 04:20:04.635684+00:00
18647.14,18610.26906,-36.87094,117.25,18493.01906,2022-02-07 04:39:03.639263+00:00
18647.14,18607.68652,-39.45348,117.25,18490.43652,2022-02-07 04:48:52.168553+00:00
18647.14,18606.06703,-41.07297,117.25,18488.81703,2022-02-07 04:58:54.454731+00:00
18647.14,18604.78175,-42.35825,117.25,18487.53175,2022-02-07 05:00:20.983541+00:00
18647.14,18608.17661,-38.96339,117.25,18490.92661,2022-02-07 05:10:07.407384+00:00
18647.14,18617.6284,-29.5116,117.25,18500.3784,2022-02-07 05:20:09.527116+00:00
18647.14,18619.28813,-27.85187,117.25,18502.03813,2022-02-07 05:30:31.787232+00:00
18647.14,18619.60067,-27.53933,117.25,18502.35067,2022-02-07 05:40:09.513534+00:00
18647.14,18620.55051,-26.58949,117.25,18503.30051,2022-02-07 05:50:07.358325+00:00
18647.14,18614.35184,-32.78816,117.25,18497.10184,2022-02-07 06:00:22.073097+00:00
18647.14,18613.49647,-33.64353,117.25,18496.24647,2022-02-07 06:10:08.689612+00:00
18647.14,18613.96926,-33.17074,117.25,18496.71926,2022-02-07 06:20:10.984664+00:00
18647.14,18608.77096,-38.36904,117.25,18491.52096,2022-02-07 06:30:31.794996+00:00
18647.14,18612.97307,-34.16693,117.25,18495.72307,2022-02-07 06:40:09.732576+00:00
18647.14,18601.77967,-45.36033,117.25,18484.52967,2022-02-07 06:50:08.650569+00:00
18647.14,18602.9098,-44.2302,117.25,18485.6598,2022-02-07 07:00:20.607600+00:00
18630.03,18586.01241,-61.12759,117.25,18468.76241,2022-02-07 07:10:07.418066+00:00
18630.03,18585.74087,-61.39913,117.25,18468.49087,2022-02-07 07:20:09.707156+00:00
18630.03,18581.12262,-66.01738,117.25,18463.87262,2022-02-07 07:30:32.334308+00:00
18630.03,18576.91023,-70.22977,117.25,18459.66023,2022-02-07 07:48:47.697022+00:00
18630.03,18570.69903,-76.44097,117.25,18453.44903,2022-02-07 07:58:34.527712+00:00
18630.03,18565.72435,-81.41565,117.25,18448.47435,2022-02-07 08:00:23.592621+00:00
18602.76,18561.54846,-85.59154,117.25,18444.29846,2022-02-07 08:10:08.276871+00:00
18602.76,18557.32221,-89.81779,117.25,18440.07221,2022-02-07 08:20:09.381119+00:00
18602.76,18557.04187,-90.09813,117.25,18439.79187,2022-02-07 08:30:16.290961+00:00
18602.76,18560.01526,-87.12474,117.25,18442.76526,2022-02-07 08:40:03.322066+00:00
18602.76,18555.34712,-91.79288,117.25,18438.09712,2022-02-07 08:50:03.303108+00:00
18602.76,18556.80918,-90.33082,117.25,18439.55918,2022-02-07 09:00:22.448365+00:00
18602.76,18554.85117,-92.28883,117.25,18437.60117,2022-02-07 09:10:07.495075+00:00
18602.76,18552.90671,-94.23329,117.25,18435.65671,2022-02-07 09:20:09.787395+00:00
18602.76,18551.68699,-95.45301,117.25,18434.43699,2022-02-07 09:30:20.597085+00:00
18602.76,18547.66539,-99.47461,117.25,18430.41539,2022-02-07 09:40:23.602026+00:00
18602.76,18552.50809,-94.63191,117.25,18435.25809,2022-02-07 09:50:10.540403+00:00
18602.76,18557.03644,-90.10356,117.25,18439.78644,2022-02-07 10:00:22.248098+00:00
18602.76,18554.32327,-92.81673,117.25,18437.07327,2022-02-07 10:10:07.574307+00:00
18602.76,18558.11514,-89.02486,117.25,18440.86514,2022-02-07 10:20:09.933118+00:00
18602.76,18566.85956,-80.28044,117.25,18449.60956,2022-02-07 10:30:32.429642+00:00
18602.76,18567.27652,-79.86348,117.25,18450.02652,2022-02-07 10:40:09.928596+00:00
18602.76,18567.42643,-79.71357,117.25,18450.17643,2022-02-07 10:50:07.544051+00:00
18602.76,18567.86082,-79.27918,117.25,18450.61082,2022-02-07 11:00:21.944694+00:00
18602.76,18567.90293,-79.23707,117.25,18450.65293,2022-02-07 11:10:07.585895+00:00
18602.76,18560.52705,-86.61295,117.25,18443.27705,2022-02-07 11:20:09.837762+00:00
18602.76,18563.55992,-83.58008,117.25,18446.30992,2022-02-07 11:30:16.351404+00:00
18602.76,18564.92752,-82.21248,117.25,18447.67752,2022-02-07 11:40:03.420909+00:00
18602.76,18565.30611,-81.83389,117.25,18448.05611,2022-02-07 11:50:05.816627+00:00
18602.76,18570.84516,-76.29484,117.25,18453.59516,2022-02-07 12:00:22.888370+00:00
18602.76,18575.39189,-71.74811,117.25,18458.14189,2022-02-07 12:10:24.882027+00:00
18602.76,18575.87189,-71.26811,117.25,18458.62189,2022-02-07 12:20:11.216998+00:00
18602.76,18583.72285,-63.41715,117.25,18466.47285,2022-02-07 12:30:33.884125+00:00
18602.76,18579.14529,-67.99471,117.25,18461.89529,2022-02-07 12:40:11.207218+00:00
18602.76,18580.83103,-66.30897,117.25,18463.58103,2022-02-07 13:00:16.494919+00:00
18602.76,18582.91833,-64.22167,117.25,18465.66833,2022-02-07 13:10:02.823543+00:00
18602.76,18583.55561,-63.58439,117.25,18466.30561,2022-02-07 13:15:10.394906+00:00
18602.76,18588.08266,-59.05734,117.25,18470.83266,2022-02-07 14:00:18.128913+00:00
18602.76,18587.05885,-60.08115,117.25,18469.80885,2022-02-07 14:10:03.071563+00:00
18602.76,18591.16909,-55.97091,117.25,18473.91909,2022-02-07 15:00:17.333660+00:00
18602.76,18588.52425,-58.61575,117.25,18471.27425,2022-02-07 15:10:02.426106+00:00
18602.76,18586.29746,-60.84254,117.25,18469.04746,2022-02-07 15:20:03.480422+00:00
18602.76,18591.65787,-55.48213,117.25,18474.40787,2022-02-07 15:30:33.222635+00:00
18602.76,18592.09267,-55.04733,117.25,18474.84267,2022-02-07 15:40:04.950250+00:00
18602.76,18594.33226,-52.80774,117.25,18477.08226,2022-02-07 15:50:02.312013+00:00
18602.76,18599.22861,-47.91139,117.25,18481.97861,2022-02-07 16:00:27.367627+00:00
18602.76,18598.13179,-49.00821,117.25,18480.88179,2022-02-07 16:10:12.208532+00:00
18602.76,18594.08175,-53.05825,117.25,18476.83175,2022-02-07 16:20:14.733287+00:00
18602.76,18598.20393,-48.93607,117.25,18480.95393,2022-02-07 16:30:31.251956+00:00
18602.76,18595.84191,-51.29809,117.25,18478.59191,2022-02-07 16:40:14.760581+00:00
18602.76,18592.7243,-54.4157,117.25,18475.4743,2022-02-07 16:50:12.196961+00:00
18602.76,18599.64101,-47.49899,117.25,18482.39101,2022-02-07 17:00:23.927001+00:00
18602.76,18600.07032,-47.06968,117.25,18482.82032,2022-02-07 17:10:08.638853+00:00
18602.76,18601.37451,-45.76549,117.25,18484.12451,2022-02-07 17:15:18.481904+00:00
18602.76,18599.33769,-47.80231,117.25,18482.08769,2022-02-07 17:25:03.660069+00:00
18602.76,18599.13639,-48.00361,117.25,18481.88639,2022-02-07 17:35:06.770858+00:00
18602.76,18602.86848,-44.27152,117.25,18485.61848,2022-02-07 17:45:32.986711+00:00
18602.76,18600.79908,-46.34092,117.25,18483.54908,2022-02-07 17:55:06.092251+00:00
18602.76,18600.58616,-46.55384,117.25,18483.33616,2022-02-07 18:00:24.340200+00:00
18602.76,18602.27344,-44.86656,117.25,18485.02344,2022-02-07 18:10:08.914666+00:00
18602.76,18602.24243,-44.89757,117.25,18484.99243,2022-02-07 18:15:18.021250+00:00
18602.76,18604.50738,-42.63262,117.25,18487.25738,2022-02-07 18:25:03.610639+00:00
18602.76,18606.29071,-40.84929,117.25,18489.04071,2022-02-07 18:35:05.886323+00:00
18602.76,18605.44169,-41.69831,117.25,18488.19169,2022-02-07 18:45:32.718537+00:00
18602.76,18604.76431,-42.37569,117.25,18487.51431,2022-02-07 18:55:06.183772+00:00
18602.76,18606.47577,-40.66423,117.25,18489.22577,2022-02-07 19:00:22.498547+00:00
18602.76,18607.37486,-39.76514,117.25,18490.12486,2022-02-07 19:10:08.216901+00:00
18602.76,18606.89808,-40.24192,117.25,18489.64808,2022-02-07 19:20:10.852769+00:00
18602.76,18610.64325,-36.49675,117.25,18493.39325,2022-02-07 19:30:33.122822+00:00
18602.76,18605.30355,-41.83645,117.25,18488.05355,2022-02-07 19:40:10.969077+00:00
18602.76,18607.34776,-39.79224,117.25,18490.09776,2022-02-07 19:50:08.257557+00:00
18602.76,18606.18153,-40.95847,117.25,18488.93153,2022-02-07 20:00:23.382825+00:00
18594.49,18605.456,-41.684,117.25,18488.206,2022-02-07 20:10:08.881908+00:00
18594.49,18608.28141,-38.85859,117.25,18491.03141,2022-02-07 20:20:10.906738+00:00
18594.49,18606.34669,-40.79331,117.25,18489.09669,2022-02-07 20:30:33.424289+00:00
18585.99,18603.84043,-43.29957,117.25,18486.59043,2022-02-07 20:40:11.445734+00:00
18585.99,18603.92869,-43.21131,117.25,18486.67869,2022-02-07 20:50:08.802461+00:00
18585.99,18602.66259,-44.47741,117.25,18485.41259,2022-02-07 21:00:23.969420+00:00
18580.99,18601.7241,-45.4159,117.25,18484.4741,2022-02-07 21:10:08.468148+00:00
18580.99,18602.03361,-45.10639,117.25,18484.78361,2022-02-07 21:20:10.625189+00:00
18580.99,18603.1015,-44.0385,117.25,18485.8515,2022-02-07 21:30:10.593236+00:00
18580.99,18601.67528,-45.46472,117.25,18484.42528,2022-02-07 21:40:09.520327+00:00
18580.99,18599.12721,-48.01279,117.25,18481.87721,2022-02-07 21:50:08.412134+00:00
18580.99,18590.65939,-56.48061,117.25,18473.40939,2022-02-07 22:00:21.268361+00:00
18580.99,18591.46513,-1.57487,117.25,18474.21513,2022-02-07 22:10:06.931641+00:00
18580.62,18592.34784,-0.69216,117.25,18475.09784,2022-02-07 22:20:07.998249+00:00
18580.62,18592.49273,-0.54727,117.25,18475.24273,2022-02-07 22:30:20.627815+00:00
18580.62,18591.60773,-1.43227,117.25,18474.35773,2022-02-07 22:40:09.132475+00:00
18580.62,18592.12779,-0.91221,117.25,18474.87779,2022-02-07 22:50:06.899061+00:00
